,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
65,65,6,1,0.5022458921076872,[0 1 2 3 4 5],[ 4  4 17 14 14  1],13,1,0,2,1,0
66,66,4,0,0.5420774217907741,[0 1 2 3],[18 18  4 14],"13,2",1,0,1,1,0
67,67,5,0,0.39381804441257534,[0 1 2 3 4],[ 5  4 14 17 14],"13,4",1,0,2,1,0
68,68,5,0,0.4285984266801243,[0 1 2 3 4],[ 5 17 14  4 14],"13,6",1,0,2,1,0
69,69,5,0,0.48645357456262345,[0 1 2 3 4],[14 17  4  5 14],"13,8",1,1,1,1,0
70,70,5,0,0.455129660902184,[0 1 2 3 4],[14  5 17 14  4],14,1,1,1,1,0
71,71,5,0,0.38244870673732306,[0 1 2 3 4],[14  5  4 17 14],"14,2",1,1,1,1,0
72,72,5,0,0.3003863490493238,[0 1 2 3 4],[14  5  6 17 12],"14,4",0,2,1,1,0
73,73,5,0,0.46439639291181356,[0 1 2 3 4],[ 4  5 17 14 14],"14,6",0,1,2,1,0
74,74,5,0,0.4592117802583438,[0 1 2 3 4],[ 5 17 14 14  4],"14,8",1,0,2,1,0
75,75,5,0,0.480208584648496,[0 1 2 3 4],[ 4 14 18  4 14],15,1,0,2,1,0
76,76,5,0,0.4986065875354776,[0 1 2 3 4],[14 18  4  4 14],"15,2",2,0,1,1,0
77,77,4,0,0.48777261062022687,[0 1 2 3],[18 18 14  4],"15,4",1,0,1,1,0
78,78,4,0,0.5101883169644409,[0 1 2 3],[14 18 18  4],"15,6",1,0,0,2,0
79,79,5,0,0.40128075325034457,[0 1 2 3 4],[14 14  4 18  4],"15,8",2,0,1,1,0
80,80,4,0,0.281826052893538,[0 1 2 3],[ 5 17 18 14],16,0,0,1,2,0
81,81,5,0,0.2829428441865919,[0 1 2 3 4],[ 4 14  6 18 12],"16,2",0,1,2,1,0
82,82,5,0,0.39626835949709,[0 1 2 3 4],[ 4 14 18  4 14],"16,4",1,0,2,1,0
83,83,4,0,0.5345237624442759,[0 1 2 3],[ 8 18 14 14],"16,6",0,0,2,1,0
84,84,5,0,0.5529142022804184,[0 1 2 3 4],[ 4 17 14 14  5],"16,8",0,1,2,1,0
85,85,5,0,0.5151135093704794,[0 1 2 3 4],[14  4 17 14  5],17,1,1,1,1,0
86,86,5,0,0.4820794343923853,[0 1 2 3 4],[14 14  4 18  4],"17,2",2,0,1,1,0
87,87,4,0,0.5094308978921228,[0 1 2 3],[14 18 18  4],"17,4",1,0,0,2,0
88,88,5,0,0.5070026114153965,[0 1 2 3 4],[ 4 14 17  5 14],"17,6",0,1,2,1,0
89,89,5,0,0.3650619466726383,[0 1 2 3 4],[ 5 17 14 14  4],"17,8",1,0,2,1,0
90,90,5,0,0.42021599934879844,[0 1 2 3 4],[14  4 17 14  5],18,1,1,1,1,0
