,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
132,132,5,0,0.6550719010155528,[0 1 2 3 4],[18  2 18 10  6],"26,4",1,1,1,1,0
133,133,6,0,0.6799857315594883,[0 1 2 3 4 5],[ 3 14 18  8  6  5],"26,6",0,3,1,1,0
134,134,6,0,0.6564933707096503,[0 1 2 3 4 5],[18  7  3  6 14  6],"26,8",1,3,1,0,0
135,135,5,0,0.6335947297154386,[0 1 2 3 4],[13 19 11  6  5],27,0,2,1,1,0
136,136,5,0,0.6502325587794175,[0 1 2 3 4],[14 18 12  5  5],"27,2",0,2,1,1,0
137,137,6,0,0.6718675689839121,[0 1 2 3 4 5],[ 5 12  8 18  6  5],"27,4",0,3,1,1,0
138,138,6,0,0.6903532152730018,[0 1 2 3 4 5],[ 2 14  8 18  7  5],"27,6",0,3,1,1,0
139,139,6,0,0.6599889414455767,[0 1 2 3 4 5],[ 1 11 13 18  6  5],"27,8",0,2,2,1,0
140,140,6,0,0.6734232831574227,[0 1 2 3 4 5],[ 7  3 13 18  8  5],28,1,2,1,1,0
141,141,6,0,0.6912458789900372,[0 1 2 3 4 5],[ 9  2 13  7 18  5],"28,2",1,2,1,1,0
142,142,6,0,0.6733876637013085,[0 1 2 3 4 5],[ 5 10 18  4  6 11],"28,4",1,1,2,1,0
143,143,6,0,0.694193294767956,[0 1 2 3 4 5],[ 5  9 11 18  5  6],"28,6",0,2,2,1,0
144,144,6,0,0.6748404413030621,[0 1 2 3 4 5],[ 4 11  6 10 18  5],"28,8",0,2,2,1,0
145,145,6,0,0.6697763479116334,[0 1 2 3 4 5],[10  8 18  5  9  4],29,1,2,1,1,0
146,146,6,0,0.6794052203943868,[0 1 2 3 4 5],[10  5  2 18  5 14],"29,2",1,2,1,1,0
147,147,5,0,0.6705852862649695,[0 1 2 3 4],[ 2 15 14 18  5],"29,4",0,1,2,1,0
148,148,6,0,0.6671362688131737,[0 1 2 3 4 5],[15  3 11  2 18  5],"29,6",2,1,1,1,0
149,149,6,2,0.627968284847926,[0 1 2 3 4 5],[13  1 16 18  1  5],"29,8",0,1,0,2,0
150,150,6,0,0.6630337959059825,[0 1 2 3 4 5],[10  2  8 11 18  5],30,1,2,1,1,0
151,151,6,0,0.6406922534142894,[0 1 2 3 4 5],[11 10  2 18  8  5],"30,2",1,2,1,1,0
152,152,6,0,0.6491150822689874,[0 1 2 3 4 5],[13  6  7  5 18  5],"30,4",0,4,0,1,0
153,153,7,0,0.6451086818017594,[0 1 2 3 4 5 6],[ 9  2  5  4 18 10  6],"30,6",2,2,1,1,0
154,154,7,0,0.6547572070725367,[0 1 2 3 4 5 6],[ 6  4  8  2 18 11  5],"30,8",2,2,1,1,0
155,155,6,1,0.5949923777462507,[0 1 2 3 4 5],[ 1 16 13  1 18  5],31,0,1,1,2,0
156,156,6,1,0.5761576354117458,[0 1 2 3 4 5],[ 7 15  1 18  8  5],"31,2",0,2,1,1,0
157,157,6,0,0.6084648509928512,[0 1 2 3 4 5],[ 1 13 18  4 13  5],"31,4",1,1,2,1,0
158,158,6,1,0.6085811970462779,[0 1 2 3 4 5],[13  1 13  4  5 18],"31,6",1,1,1,1,0
159,159,6,0,0.6679363849208723,[0 1 2 3 4 5],[11  3 18  9  8  5],"31,8",1,2,1,1,0
160,160,6,0,0.6426605778554602,[0 1 2 3 4 5],[ 5  2 15 18  9  5],32,1,1,2,1,0
161,161,6,0,0.6541499837554761,[0 1 2 3 4 5],[ 7 14 18  7  5  3],"32,2",1,2,1,1,0
162,162,7,0,0.6302398815464608,[0 1 2 3 4 5 6],[ 5  9  3  8 18  5  6],"32,4",1,3,1,1,0
163,163,6,0,0.6509288155531059,[0 1 2 3 4 5],[10  4  7 10 18  5],"32,6",1,2,1,1,0
164,164,6,0,0.668305071703386,[0 1 2 3 4 5],[ 8  6  6 11 18  5],"32,8",0,3,1,1,0
165,165,6,1,0.6203373789937536,[0 1 2 3 4 5],[ 8  6 16 18  1  5],33,0,2,0,2,0
166,166,6,1,0.6124184787754371,[0 1 2 3 4 5],[11  3 16 18  1  5],"33,2",1,1,0,2,0
167,167,6,0,0.6480944230151986,[0 1 2 3 4 5],[ 9 15 18  2  5  5],"33,4",1,2,1,1,0
168,168,5,0,0.5904582523092597,[0 1 2 3 4],[13  3 14 18  6],"33,6",1,1,1,1,0
169,169,5,0,0.566291169205205,[0 1 2 3 4],[14 18  3 14  5],"33,8",1,1,1,1,0
170,170,6,0,0.5837566537708687,[0 1 2 3 4 5],[10  5 14  3  4 18],34,2,1,1,1,0
171,171,6,0,0.621923787468876,[0 1 2 3 4 5],[ 7 12 18  5  5  7],"34,2",0,3,1,1,0
172,172,6,0,0.637997715361098,[0 1 2 3 4 5],[10  9  8 18  6  3],"34,4",1,2,1,1,0
173,173,6,0,0.6237977232836447,[0 1 2 3 4 5],[ 6  8  5  5 12 18],"34,6",0,3,1,1,0
174,174,6,0,0.6482420835961787,[0 1 2 3 4 5],[ 7  7 10  7  5 18],"34,8",0,3,1,1,0
175,175,6,0,0.6457560891027159,[0 1 2 3 4 5],[ 3  9 14  5 18  5],35,0,2,2,1,0
176,176,6,0,0.6399504939198466,[0 1 2 3 4 5],[11  3 18  8  9  5],"35,2",1,2,1,1,0
177,177,5,0,0.6580150690152237,[0 1 2 3 4],[14 18 12  5  5],"35,4",0,2,1,1,0
178,178,5,0,0.5859478156701465,[0 1 2 3 4],[16  3  4 13 18],"35,6",2,0,1,1,0
179,179,5,0,0.6133452418926247,[0 1 2 3 4],[14  4 13  4 19],"35,8",2,0,1,1,0
180,180,5,0,0.6145275053744084,[0 1 2 3 4],[14  5  6 11 18],36,0,2,1,1,0
181,181,5,0,0.6187308509119303,[0 1 2 3 4],[14  4  4 19 13],"36,2",2,0,1,1,0
182,182,5,0,0.5691201741324265,[0 1 2 3 4],[12  7 10 18  7],"36,4",0,2,1,1,0
