,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
72,72,6,3,0.6308715935106812,[-1  0  1  2  3  4  5],[ 3  4  8  6 16  3 14],2,2,1,1,0
73,73,6,3,0.5956007889171878,[-1  0  1  2  3  4  5],[ 3  4  2 11 17  3 14],3,0,2,1,0
74,74,7,2,0.6555182209096089,[-1  0  1  2  3  4  5  6],[ 2  4  2 11 17  2 14  2],4,0,2,1,0
75,75,7,1,0.6428862578531654,[-1  0  1  2  3  4  5  6],[ 1  4  2 10 17  2  4 14],4,0,2,1,0
76,76,6,2,0.6153378858854411,[-1  0  1  2  3  4  5],[ 2  4  2 11 17  4 14],3,0,2,1,0
77,77,6,2,0.6075373560329426,[-1  0  1  2  3  4  5],[ 2  4  3 11 17  3 14],3,0,2,1,0
78,78,6,2,0.6176478375099593,[-1  0  1  2  3  4  5],[ 2  4  2 12 17  3 14],3,0,2,1,0
79,79,6,2,0.6149536728562198,[-1  0  1  2  3  4  5],[ 2  4  4 10 17  3 14],3,0,2,1,0
80,80,7,1,0.6434702062703116,[-1  0  1  2  3  4  5  6],[ 1  4  4 10 15  4 14  2],4,0,3,0,0
81,81,8,1,0.629725763001982,[-1  0  1  2  3  4  5  6  7],[ 1  4  4 10 14  2  3 14  2],5,0,3,0,0
82,82,6,3,0.6040727556404386,[-1  0  1  2  3  4  5],[ 3  4  3 11 16 14  3],3,0,2,1,0
83,83,6,3,0.5635424838363039,[-1  0  1  2  3  4  5],[ 3  2  2 13 16  4 14],3,0,2,1,0
84,84,5,3,0.5873365215630789,[-1  0  1  2  3  4],[ 3  4 13 17 14  3],2,0,2,1,0
85,85,5,4,0.5836512989940016,[-1  0  1  2  3  4],[ 4  4 13 16 14  3],2,0,2,1,0
86,86,5,4,0.6183719794723983,[-1  0  1  2  3  4],[ 4  4 13 16  3 14],2,0,2,1,0
87,87,6,2,0.6425465635644341,[-1  0  1  2  3  4  5],[ 2  4 14 16  2 14  2],3,0,2,1,0
88,88,5,3,0.6072750189196837,[-1  0  1  2  3  4],[ 3  4 14 16  3 14],2,0,2,1,0
89,89,6,3,0.6145750412385452,[-1  0  1  2  3  4  5],[ 3  3 14 10  7 14  3],2,1,3,0,0
90,90,5,1,0.6168795177217076,[-1  0  1  2  3  4],[ 1 18 14 13  4  4],2,0,2,1,0
91,91,5,1,0.6514244580970617,[-1  0  1  2  3  4],[ 1 18 14 12  5  4],1,1,2,1,0
92,92,5,1,0.6267877533725297,[-1  0  1  2  3  4],[ 1 18 14 10  7  4],1,1,2,1,0
93,93,4,1,0.6402882965347947,[-1  0  1  2  3],[ 1 18 14 17  4],1,0,1,2,0
94,94,5,0,0.6675144759780307,[0 1 2 3 4],[18 14 17  3  2],2,0,1,1,0
95,95,5,0,0.6923762146808949,[0 1 2 3 4],[18 14 13  4  5],1,1,2,0,0
96,96,5,0,0.6692525206618716,[0 1 2 3 4],[18 14 12  5  5],0,2,2,0,0
97,97,4,2,0.6028368389371052,[-1  0  1  2  3],[ 2 17 14 17  4],1,0,1,2,0
98,98,4,0,0.6609245602842745,[0 1 2 3],[18 14 17  5],0,1,1,1,0
99,99,4,0,0.6610794217242464,[0 1 2 3],[18 14 17  5],0,1,1,1,0
100,100,4,0,0.6789899917604252,[0 1 2 3],[18 14 17  5],0,1,1,1,0
101,101,5,0,0.681428702267435,[0 1 2 3 4],[18 14 17  3  2],2,0,1,1,0
102,102,4,1,0.6585700345141366,[-1  0  1  2  3],[ 1 18 14 17  4],1,0,1,2,0
103,103,5,1,0.6626211500572965,[-1  0  1  2  3  4],[ 1 18 14 14  2  5],1,1,2,1,0
104,104,5,0,0.6697404787746343,[0 1 2 3 4],[18 14 15  2  5],1,1,2,0,0
105,105,4,0,0.6344033103043135,[0 1 2 3],[18 14 17  5],0,1,1,1,0
106,106,4,1,0.4748343121762521,[-1  0  1  2  3],[ 1 18 14 16  5],0,1,1,2,0
107,107,4,0,0.6310803814319894,[0 1 2 3],[18 14 17  5],0,1,1,1,0
108,108,5,1,0.6435554679909781,[-1  0  1  2  3  4],[ 1 18 14 14  2  5],1,1,2,1,0
109,109,5,0,0.6817382119632648,[0 1 2 3 4],[18 14 15  2  5],1,1,2,0,0
110,110,4,1,0.6761577241936578,[-1  0  1  2  3],[ 1 18 14 16  5],0,1,1,2,0
111,111,4,0,0.675885344423654,[0 1 2 3],[18 14 17  5],0,1,1,1,0
112,112,4,0,0.6662016740430536,[0 1 2 3],[18 14 17  5],0,1,1,1,0
113,113,4,0,0.6654701072677894,[0 1 2 3],[18 14 17  5],0,1,1,1,0
114,114,4,1,0.652071314068318,[-1  0  1  2  3],[ 1 18 14 17  4],1,0,1,2,0
115,115,4,1,0.6571615304690015,[-1  0  1  2  3],[ 1 18 14 17  4],1,0,1,2,0
116,116,4,0,0.6297619982639846,[0 1 2 3],[18 14 17  5],0,1,1,1,0
117,117,4,0,0.5807392064885333,[0 1 2 3],[18 14 17  5],0,1,1,1,0
118,118,5,1,0.44729664233673344,[-1  0  1  2  3  4],[ 1 18 14 13  3  5],1,1,2,1,0
119,119,5,0,0.6007284424873606,[0 1 2 3 4],[18 14 14  3  5],1,1,2,0,0
120,120,5,0,0.617353163709822,[0 1 2 3 4],[18 14 14  3  5],1,1,2,0,0
121,121,5,1,0.5995088641978453,[-1  0  1  2  3  4],[ 1 18 14 12  5  4],1,1,2,1,0
122,122,5,0,0.6372420705261681,[0 1 2 3 4],[18 14 13  4  5],1,1,2,0,0
123,123,5,1,0.6110117203001812,[-1  0  1  2  3  4],[ 1 18 14 14  2  5],1,1,2,1,0
124,124,6,0,0.6400503284146302,[0 1 2 3 4 5],[18 14 11  3  5  3],2,1,2,0,0
125,125,6,0,0.640380600188621,[0 1 2 3 4 5],[18 14  8  6  3  5],1,3,1,0,0
126,126,7,1,0.6615304963549161,[-1  0  1  2  3  4  5  6],[ 1 18 13  7  2  5  5  3],2,3,1,1,0
127,127,6,0,0.6711112093204483,[0 1 2 3 4 5],[18 14  9  3  5  5],1,2,2,0,0
128,128,5,0,0.6399574882098911,[0 1 2 3 4],[18 14 12  5  5],0,2,2,0,0
129,129,6,1,0.6318913527786242,[-1  0  1  2  3  4  5],[ 1 18 14  8  6  5  2],1,3,1,1,0
130,130,5,2,0.6330358386668067,[-1  0  1  2  3  4],[ 2 18 14 10  5  5],0,2,2,1,0
