,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
71,71,8,22,-0.24444178871649816,[-1  0  1  2  3  4  5  6  7],[22  2  7  5  9  2  2  3  2],5,2,1,0,0
72,72,9,32,-0.2863266139468404,[-1  0  1  2  3  4  5  6  7  8],[32  2  3  3  2  3  3  2  2  2],9,0,0,0,0
73,73,8,36,-0.33494934259579245,[-1  0  1  2  3  4  5  6  7],[36  2  2  2  2  3  2  3  2],8,0,0,0,0
74,74,7,34,-0.3744012913183876,[-1  0  1  2  3  4  5  6],[34  2  3  2  5  4  2  2],6,1,0,0,0
75,75,10,33,-0.29455833455539654,[-1  0  1  2  3  4  5  6  7  8  9],[33  2  3  2  2  2  2  2  2  2  2],10,0,0,0,0
76,76,12,23,-0.3456581884482165,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[23  4  3  2  5  3  2  2  2  2  2  2  2],11,1,0,0,0
77,77,6,38,-0.37912763136541366,[-1  0  1  2  3  4  5],[38  3  5  2  2  2  2],5,1,0,0,0
78,78,11,26,-0.38948691540618485,[-1  0  1  2  3  4  5  6  7  8  9 10],[26  4  2  3  4  3  2  2  2  2  2  2],11,0,0,0,0
79,79,8,36,-0.40703130877113347,[-1  0  1  2  3  4  5  6  7],[36  3  2  2  2  2  2  3  2],8,0,0,0,0
80,80,4,46,-0.39529343894801455,[-1  0  1  2  3],[46  2  2  2  2],4,0,0,0,0
81,81,8,38,-0.42798090188816434,[-1  0  1  2  3  4  5  6  7],[38  2  2  2  2  2  2  2  2],8,0,0,0,0
82,82,6,41,-0.4058120155025173,[-1  0  1  2  3  4  5],[41  2  2  2  2  3  2],6,0,0,0,0
83,83,9,34,-0.4040339220575207,[-1  0  1  2  3  4  5  6  7  8],[34  2  3  3  2  2  2  2  2  2],9,0,0,0,0
84,84,10,29,-0.40099609034978906,[-1  0  1  2  3  4  5  6  7  8  9],[29  2  3  3  3  2  4  2  2  2  2],10,0,0,0,0
85,85,10,31,-0.41560878276002533,[-1  0  1  2  3  4  5  6  7  8  9],[31  3  2  2  2  4  2  2  2  2  2],10,0,0,0,0
86,86,8,34,-0.39291742291169374,[-1  0  1  2  3  4  5  6  7],[34  2  2  2  4  2  3  3  2],8,0,0,0,0
87,87,14,25,-0.44053996789430244,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13],[25  2  2  2  2  3  2  2  2  2  2  2  2  2  2],14,0,0,0,0
88,88,7,38,-0.3774347553891594,[-1  0  1  2  3  4  5  6],[38  2  3  2  3  2  2  2],7,0,0,0,0
89,89,8,31,-0.33430288209560327,[-1  0  1  2  3  4  5  6  7],[31  2  6  2  2  2  4  2  3],7,1,0,0,0
90,90,7,36,-0.4329661129415581,[-1  0  1  2  3  4  5  6],[36  2  2  5  2  3  2  2],6,1,0,0,0
91,91,10,33,-0.4350780502786939,[-1  0  1  2  3  4  5  6  7  8  9],[33  2  2  2  2  3  2  2  2  2  2],10,0,0,0,0
92,92,6,41,-0.33740204087472525,[-1  0  1  2  3  4  5],[41  2  2  3  2  2  2],6,0,0,0,0
93,93,8,35,-0.3783557731560382,[-1  0  1  2  3  4  5  6  7],[35  3  3  3  2  2  2  2  2],8,0,0,0,0
94,94,9,32,-0.31248163559847153,[-1  0  1  2  3  4  5  6  7  8],[32  3  3  3  2  2  2  3  2  2],9,0,0,0,0
95,95,10,27,-0.41744031779612145,[-1  0  1  2  3  4  5  6  7  8  9],[27  3  2  2  2  2  4  2  3  5  2],9,1,0,0,0
96,96,10,31,-0.3922260079088193,[-1  0  1  2  3  4  5  6  7  8  9],[31  2  3  2  2  2  2  2  3  3  2],10,0,0,0,0
97,97,10,28,-0.3703407046385801,[-1  0  1  2  3  4  5  6  7  8  9],[28  2  2  2  5  3  4  2  2  2  2],9,1,0,0,0
98,98,10,27,-0.3366747655480158,[-1  0  1  2  3  4  5  6  7  8  9],[27  3  5  2  2  2  3  3  2  3  2],9,1,0,0,0
99,99,10,25,-0.2973433724205447,[-1  0  1  2  3  4  5  6  7  8  9],[25  3  2  4  4  2  4  4  2  2  2],10,0,0,0,0
100,100,8,34,-0.38877457116516745,[-1  0  1  2  3  4  5  6  7],[34  2  2  5  2  2  2  2  3],7,1,0,0,0
101,101,7,28,-0.3609734800301095,[-1  0  1  2  3  4  5  6],[28  5  3  8  2  3  2  3],5,2,0,0,0
102,102,9,35,-0.358891367821622,[-1  0  1  2  3  4  5  6  7  8],[35  2  2  2  2  2  2  3  2  2],9,0,0,0,0
103,103,7,32,-0.3282467261040869,[-1  0  1  2  3  4  5  6],[32  2  2  2  6  2  4  4],6,1,0,0,0
104,104,6,40,-0.3572095637373216,[-1  0  1  2  3  4  5],[40  2  3  3  2  2  2],6,0,0,0,0
105,105,8,36,-0.36486786065589744,[-1  0  1  2  3  4  5  6  7],[36  2  2  2  3  2  2  2  3],8,0,0,0,0
106,106,6,39,-0.3900649610169888,[-1  0  1  2  3  4  5],[39  2  2  4  2  2  3],6,0,0,0,0
107,107,7,39,-0.29270970570469806,[-1  0  1  2  3  4  5  6],[39  3  2  2  2  2  2  2],7,0,0,0,0
108,108,8,33,-0.40722785750002305,[-1  0  1  2  3  4  5  6  7],[33  2  3  4  2  3  2  3  2],8,0,0,0,0
109,109,4,44,-0.3134232795022931,[-1  0  1  2  3],[44  3  2  2  3],4,0,0,0,0
110,110,8,33,-0.361808769431317,[-1  0  1  2  3  4  5  6  7],[33  4  2  2  2  2  2  3  4],8,0,0,0,0
111,111,7,36,-0.298342572346519,[-1  0  1  2  3  4  5  6],[36  2  4  2  2  3  3  2],7,0,0,0,0
112,112,9,35,-0.35047010545171736,[-1  0  1  2  3  4  5  6  7  8],[35  2  2  2  3  2  2  2  2  2],9,0,0,0,0
113,113,9,28,-0.3313022208073025,[-1  0  1  2  3  4  5  6  7  8],[28  3  6  2  2  2  3  2  3  3],8,1,0,0,0
114,114,8,36,-0.34420522378060464,[-1  0  1  2  3  4  5  6  7],[36  3  3  2  2  2  2  2  2],8,0,0,0,0
115,115,7,27,-0.36068863803011875,[-1  0  1  2  3  4  5  6],[27 12  3  3  2  2  2  3],6,0,1,0,0
116,116,14,17,-0.36641546350071613,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13],[17  2  2  6  4  4  2  2  2  3  2  2  2  2  2],13,1,0,0,0
117,117,13,26,-0.41109918719025673,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[26  2  2  2  2  2  2  3  2  2  2  3  2  2],13,0,0,0,0
118,118,10,28,-0.39603786407251507,[-1  0  1  2  3  4  5  6  7  8  9],[28  2  3  3  2  4  2  4  2  2  2],10,0,0,0,0
119,119,9,29,-0.4125301361811641,[-1  0  1  2  3  4  5  6  7  8],[29  2  4  2  2  4  3  3  3  2],9,0,0,0,0
120,120,10,30,-0.3786705348718088,[-1  0  1  2  3  4  5  6  7  8  9],[30  2  2  2  2  2  4  3  3  2  2],10,0,0,0,0
121,121,11,24,-0.3562342813405327,[-1  0  1  2  3  4  5  6  7  8  9 10],[24  2  4  6  2  2  3  2  2  3  2  2],10,1,0,0,0
122,122,12,23,-0.29145773485550924,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[23  2  2  3  2  2  2  3  3  6  2  2  2],11,1,0,0,0
123,123,10,27,-0.3802807289049056,[-1  0  1  2  3  4  5  6  7  8  9],[27  4  3  3  4  3  2  2  2  2  2],10,0,0,0,0
124,124,12,22,-0.29527717588372254,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[22  2  2  2  2  2  2  9  2  2  2  3  2],11,0,1,0,0
