,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
99,99,5,0,0.6355248643628807,[0 1 2 3 4],[18 14 17  2  3],"19,8",2,0,1,1,0
100,100,6,1,0.18929762088891597,[-1  0  1  2  3  4  5],[ 1 15 13 15  5  2  3],20,2,1,3,0,0
101,101,5,1,0.4925697253525608,[-1  0  1  2  3  4],[ 1 18  8  5 17  5],"20,2",0,3,0,2,0
102,102,5,0,0.5316212700697355,[0 1 2 3 4],[18  7  7 17  5],"20,4",0,3,0,1,0
103,103,4,0,0.5552872498851129,[0 1 2 3],[18 14 17  5],"20,6",0,1,1,1,0
104,104,4,0,0.589012276984523,[0 1 2 3],[18 14 17  5],"20,8",0,1,1,1,0
105,105,5,4,0.43129190438222414,[-1  0  1  2  3  4],[ 4 17 14 13  4  2],21,2,0,2,1,0
106,106,5,5,0.43728870492179117,[-1  0  1  2  3  4],[ 5 16 14 12  4  3],"21,2",2,0,2,1,0
107,107,4,2,0.5850722864288168,[-1  0  1  2  3],[ 2 18 14 16  4],"21,4",1,0,1,2,0
108,108,5,0,0.43501917885554414,[0 1 2 3 4],[18 14 10  5  7],"21,6",0,2,2,0,0
109,109,4,0,0.6027621992487953,[0 1 2 3],[18 14 17  5],"21,8",0,1,1,1,0
110,110,5,0,0.6137418706666922,[0 1 2 3 4],[18 14 17  2  3],22,2,0,1,1,0
111,111,6,2,0.4106721753661077,[-1  0  1  2  3  4  5],[ 2 15 13 17  3  2  2],"22,2",3,0,2,1,0
112,112,4,1,0.48333814828280725,[-1  0  1  2  3],[ 1 18 13 17  5],"22,4",0,1,1,2,0
113,113,4,0,0.6654701072677894,[0 1 2 3],[18 14 17  5],"22,6",0,1,1,1,0
114,114,4,3,0.48573139768652174,[-1  0  1  2  3],[ 3 18 11 17  5],"22,8",0,1,1,2,0
115,115,4,0,0.6322447188986691,[0 1 2 3],[18 14 17  5],23,0,1,1,1,0
116,116,4,2,0.5814337715450891,[-1  0  1  2  3],[ 2 18 13 17  4],"23,2",1,0,1,2,0
117,117,4,3,0.4456770437973575,[-1  0  1  2  3],[ 3 18 11 17  5],"23,4",0,1,1,2,0
118,118,4,0,0.48495982639926155,[0 1 2 3],[18 14 17  5],"23,6",0,1,1,1,0
119,119,4,2,0.40999408734093407,[-1  0  1  2  3],[ 2 17 14 17  4],"23,8",1,0,1,2,0
120,120,4,0,0.4889959397425222,[0 1 2 3],[18 14 17  5],24,0,1,1,1,0
121,121,4,1,0.1790205162146373,[-1  0  1  2  3],[ 1 18 13 17  5],"24,2",0,1,1,2,0
122,122,4,0,0.48156947570449615,[0 1 2 3],[18 14 17  5],"24,4",0,1,1,1,0
123,123,5,0,0.40146771160094824,[0 1 2 3 4],[18 10 17  4  5],"24,6",1,1,1,1,0
124,124,4,0,0.40171843012825537,[0 1 2 3],[18 14 17  5],"24,8",0,1,1,1,0
125,125,5,0,0.24837417955514468,[0 1 2 3 4],[18 10 17  4  5],25,1,1,1,1,0
126,126,4,0,0.32669430344890843,[0 1 2 3],[18 14 17  5],"25,2",0,1,1,1,0
127,127,4,1,0.22428170959009364,[-1  0  1  2  3],[ 1 17 14 17  5],"25,4",0,1,1,2,0
128,128,5,1,0.3065846379337974,[-1  0  1  2  3  4],[ 1 18 12 17  4  2],"25,6",2,0,1,2,0
129,129,5,0,0.29439055255345614,[0 1 2 3 4],[16 14 17  5  2],"25,8",1,1,1,1,0
130,130,4,0,0.45451658645888604,[0 1 2 3],[18 14 17  5],26,0,1,1,1,0
131,131,4,0,0.42108602008307755,[0 1 2 3],[18 14 17  5],"26,2",0,1,1,1,0
132,132,4,0,0.42990602842322223,[0 1 2 3],[18 14 17  5],"26,4",0,1,1,1,0
133,133,4,1,0.2278036742373424,[-1  0  1  2  3],[ 1 18 13 17  5],"26,6",0,1,1,2,0
134,134,5,0,0.23592993613946578,[0 1 2 3 4],[18  9  5 17  5],"26,8",0,2,1,1,0
135,135,4,0,0.42054312073287076,[0 1 2 3],[18 14 17  5],27,0,1,1,1,0
136,136,4,2,0.3750681485652001,[-1  0  1  2  3],[ 2 17 13 17  5],"27,2",0,1,1,2,0
137,137,4,0,0.3311718203392783,[0 1 2 3],[18 14 17  5],"27,4",0,1,1,1,0
138,138,4,0,0.4308439404666694,[0 1 2 3],[18 14 17  5],"27,6",0,1,1,1,0
139,139,4,0,0.4325410190628144,[0 1 2 3],[18 14 17  5],"27,8",0,1,1,1,0
140,140,4,0,0.40197093059672184,[0 1 2 3],[18 14 17  5],28,0,1,1,1,0
141,141,4,1,0.21164939637232058,[-1  0  1  2  3],[ 1 18 13 17  5],"28,2",0,1,1,2,0
142,142,5,1,0.11766832859696442,[-1  0  1  2  3  4],[ 1 18 13 17  3  2],"28,4",2,0,1,2,0
143,143,4,1,0.10791711308908208,[-1  0  1  2  3],[ 1 18 13 17  5],"28,6",0,1,1,2,0
144,144,4,0,0.35431364286742567,[0 1 2 3],[18 14 17  5],"28,8",0,1,1,1,0
145,145,4,0,0.3073859147635578,[0 1 2 3],[18 14 17  5],29,0,1,1,1,0
146,146,5,0,0.4081210791234526,[0 1 2 3 4],[18 14 17  3  2],"29,2",2,0,1,1,0
147,147,4,0,0.5709043473594567,[0 1 2 3],[18 14 17  5],"29,4",0,1,1,1,0
148,148,4,0,0.4739728419344791,[0 1 2 3],[18 14 17  5],"29,6",0,1,1,1,0
149,149,4,0,0.5686350183151714,[0 1 2 3],[18 14 17  5],"29,8",0,1,1,1,0
150,150,4,0,0.30544998863267053,[0 1 2 3],[18 14 17  5],30,0,1,1,1,0
151,151,5,0,0.2845433113458951,[0 1 2 3 4],[18  9  5 17  5],"30,2",0,2,1,1,0
152,152,5,0,0.14038038312571152,[0 1 2 3 4],[18 12  2 17  5],"30,4",1,1,1,1,0
153,153,4,1,0.19991184116044863,[-1  0  1  2  3],[ 1 18 14 17  4],"30,6",1,0,1,2,0
154,154,4,0,0.26876080703674626,[0 1 2 3],[18 14 17  5],"30,8",0,1,1,1,0
155,155,4,0,0.5338766540617668,[0 1 2 3],[18 14 17  5],31,0,1,1,1,0
156,156,5,0,0.38851193573289106,[0 1 2 3 4],[18  9 17  5  5],"31,2",0,2,1,1,0
157,157,5,1,0.2669797046153661,[-1  0  1  2  3  4],[ 1 18 12 17  4  2],"31,4",2,0,1,2,0
158,158,6,0,0.25625696761613437,[0 1 2 3 4 5],[18  6  8 17  2  3],"31,6",2,2,0,1,0
159,159,4,0,0.3618329813884703,[0 1 2 3],[18 14 17  5],"31,8",0,1,1,1,0
160,160,4,0,0.39365611703124115,[0 1 2 3],[18 14 17  5],32,0,1,1,1,0
161,161,4,0,0.3664451922398804,[0 1 2 3],[18 14 17  5],"32,2",0,1,1,1,0
