,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
135,135,4,0,0.441608838061599,[0 1 2 3],[18 14 17  5],0,1,1,1,0
136,136,5,3,0.2659364114521711,[-1  0  1  2  3  4],[ 3 15 12 17  5  2],1,1,2,1,0
137,137,4,1,0.3324050153428901,[-1  0  1  2  3],[ 1 18 13 17  5],0,1,1,2,0
138,138,4,0,0.4320663716370512,[0 1 2 3],[18 14 17  5],0,1,1,1,0
139,139,4,0,0.43183811267057565,[0 1 2 3],[18 14 17  5],0,1,1,1,0
140,140,4,2,0.06900697667981036,[-1  0  1  2  3],[ 2 18 28  3  3],2,0,0,2,0
141,141,3,1,0.2092307698200306,[-1  0  1  2],[ 1 18 31  4],1,0,0,2,0
142,142,4,1,0.004623682530051247,[-1  0  1  2  3],[ 1 18 30  3  2],2,0,0,2,0
143,143,3,0,0.20074384855407448,[0 1 2],[18 31  5],0,1,0,1,0
144,144,3,0,0.21489357923046945,[0 1 2],[18 31  5],0,1,0,1,0
145,145,3,0,0.17838060220007912,[0 1 2],[18 31  5],0,1,0,1,0
146,146,6,1,0.33179997844658615,[-1  0  1  2  3  4  5],[ 1 18  9  6 16  2  2],2,1,1,2,0
147,147,4,1,0.11786663354993045,[-1  0  1  2  3],[ 1 17 31  2  3],2,0,0,2,0
148,148,3,1,0.05683140688974552,[-1  0  1  2],[ 1 17 31  5],0,1,0,2,0
149,149,4,0,0.3122065616302796,[0 1 2 3],[18 25  6  5],0,2,0,1,0
150,150,4,0,0.18209533105209189,[0 1 2 3],[18 24  7  5],0,2,0,1,0
151,151,4,1,0.05149341752969427,[-1  0  1  2  3],[ 1 18 24  6  5],0,2,0,2,0
152,152,3,1,0.02429975656310807,[-1  0  1  2],[ 1 17 31  5],0,1,0,2,0
153,153,3,0,0.12733630856000222,[0 1 2],[18 31  5],0,1,0,1,0
154,154,4,0,0.03373177364399445,[0 1 2 3],[14  4 31  5],1,1,0,1,0
155,155,4,0,0.3414146182289243,[0 1 2 3],[18  9 22  5],0,1,1,1,0
156,156,4,0,0.25095382475228956,[0 1 2 3],[18  9 22  5],0,1,1,1,0
157,157,4,1,0.2954589580566279,[-1  0  1  2  3],[ 1 18 12 19  4],1,0,1,2,0
158,158,4,0,0.26435582205628105,[0 1 2 3],[18 31  2  3],2,0,0,1,0
159,159,4,0,0.14656043597646012,[0 1 2 3],[18 28  3  5],1,1,0,1,0
160,160,3,0,0.2378360432527937,[0 1 2],[18 31  5],0,1,0,1,0
161,161,3,0,0.19505678179190358,[0 1 2],[18 31  5],0,1,0,1,0
162,162,4,0,0.24372940055082745,[0 1 2 3],[18 14 17  5],0,1,1,1,0
163,163,5,0,0.19517638179180127,[0 1 2 3 4],[18 24  7  2  3],2,1,0,1,0
164,164,4,0,0.29439236529710133,[0 1 2 3],[18 14 17  5],0,1,1,1,0
165,165,6,0,0.30265098776612714,[0 1 2 3 4 5],[18 11  3 10  7  5],1,2,2,0,0
166,166,3,0,0.3196931682721339,[0 1 2],[18 31  5],0,1,0,1,0
167,167,4,0,0.17604539455347964,[0 1 2 3],[12 31  5  6],0,2,0,1,0
168,168,5,1,0.2632984270037143,[-1  0  1  2  3  4],[ 1 18  6  7 17  5],0,3,0,2,0
169,169,4,0,0.37456246608092164,[0 1 2 3],[18 14 17  5],0,1,1,1,0
170,170,6,0,0.18365372490450832,[0 1 2 3 4 5],[16  6  8 17  5  2],1,3,0,1,0
171,171,5,0,0.233022901565425,[0 1 2 3 4],[18  5  9 17  5],0,2,1,1,0
172,172,4,0,0.2650023679341763,[0 1 2 3],[18 14 17  5],0,1,1,1,0
173,173,5,1,0.1645706278069852,[-1  0  1  2  3  4],[ 1 16 14 17  4  2],2,0,1,2,0
174,174,3,1,0.0883282414291604,[-1  0  1  2],[ 1 18 31  4],1,0,0,2,0
175,175,5,0,0.23667491477088548,[0 1 2 3 4],[18 14 17  3  2],2,0,1,1,0
176,176,5,1,0.2619277867577091,[-1  0  1  2  3  4],[ 1 18 14 11  6  4],1,1,2,1,0
177,177,5,1,0.33993440314525863,[-1  0  1  2  3  4],[ 1 18  9  5 17  4],1,1,1,2,0
178,178,4,2,0.3284459542630624,[-1  0  1  2  3],[ 2 17 14 17  4],1,0,1,2,0
179,179,4,1,0.31757176234624174,[-1  0  1  2  3],[ 1 18 14 17  4],1,0,1,2,0
180,180,4,2,-0.026086919625280956,[-1  0  1  2  3],[ 2  2 20 13 17],1,0,1,2,0
181,181,5,0,0.3682043990944892,[0 1 2 3 4],[18 14 17  2  3],2,0,1,1,0
182,182,6,0,0.14675499044901194,[0 1 2 3 4 5],[ 8 10 14 17  2  3],2,0,2,1,0
183,183,8,1,-0.02386895914789889,[-1  0  1  2  3  4  5  6  7],[ 1  8  9  9 15  2  2  5  3],3,2,3,0,0
184,184,6,4,0.09954332145208741,[-1  0  1  2  3  4  5],[ 4 11  6 10 16  2  5],1,2,2,1,0
185,185,7,3,0.014931342222447184,[-1  0  1  2  3  4  5  6],[ 3  8  6  5 17  5  8  2],1,5,0,1,0
186,186,8,3,0.17555065288135538,[-1  0  1  2  3  4  5  6  7],[3 8 9 9 8 8 4 2 3],3,3,2,0,0
187,187,6,4,0.12743211095137222,[-1  0  1  2  3  4  5],[ 4 10  9  4 16  5  6],1,2,2,1,0
188,188,7,3,0.11748824614822256,[-1  0  1  2  3  4  5  6],[ 3  2  8 16  9  8  5  3],2,3,1,1,0
189,189,7,0,0.10126110793132496,[0 1 2 3 4 5 6],[ 8 10  9  5  9  5  8],0,3,3,0,0
190,190,8,2,0.10767557038477314,[-1  0  1  2  3  4  5  6  7],[ 2  4  9 13  8  5  4  6  3],3,3,2,0,0
191,191,8,3,0.19687894171629658,[-1  0  1  2  3  4  5  6  7],[ 3 13  9  8  2  7  7  2  3],3,3,2,0,0
192,192,10,3,0.025007684768756495,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 10 11  3  7  6  3  2  4  2],6,2,2,0,0
193,193,8,2,0.11644080150623054,[-1  0  1  2  3  4  5  6  7],[ 2 17  8  2  7  7  2  7  2],3,4,0,1,0
194,194,4,0,0.27864989378422417,[0 1 2 3],[18 19  8  9],0,1,1,1,0
195,195,7,1,0.12587300419707018,[-1  0  1  2  3  4  5  6],[ 1 11 10  4  8  9  4  7],2,2,3,0,0
196,196,5,2,0.198850657469759,[-1  0  1  2  3  4],[ 2  3 13 17 13  6],1,1,2,1,0
197,197,5,2,0.13520525853325654,[-1  0  1  2  3  4],[ 2 11 28  5  3  5],1,2,1,1,0
198,198,5,1,0.09245741295508948,[-1  0  1  2  3  4],[ 1 17  6  7 14  9],0,2,2,1,0
199,199,8,0,0.19259888570880082,[0 1 2 3 4 5 6 7],[10 10  7 17  2  3  2  3],4,1,1,1,0
200,200,6,0,0.09803102755491487,[0 1 2 3 4 5],[18  4  7 14  8  3],2,2,1,0,0
201,201,8,1,0.058881489771877564,[-1  0  1  2  3  4  5  6  7],[ 1  2  6 18  7 13  3  2  2],4,2,1,1,0
202,202,10,4,0.06639749342136225,[-1  0  1  2  3  4  5  6  7  8  9],[4 9 2 7 4 8 8 2 2 6 2],5,4,1,0,0
203,203,9,3,0.08211355465616464,[-1  0  1  2  3  4  5  6  7  8],[ 3 10 12  2  4  9  5  2  5  2],4,2,3,0,0
204,204,8,2,0.0327087587722891,[-1  0  1  2  3  4  5  6  7],[ 2  2  8  3  2  6  3 14 14],4,2,2,0,0
205,205,7,2,0.02831568166921358,[-1  0  1  2  3  4  5  6],[ 2  8  4  4  7  3 13 13],3,2,2,0,0
206,206,9,3,-0.012355609339819225,[-1  0  1  2  3  4  5  6  7  8],[ 3  9  3  3  7  9 11  3  4  2],5,1,3,0,0
207,207,6,5,0.11491450116890763,[-1  0  1  2  3  4  5],[ 5  6  6 13  6 16  2],1,3,1,1,0
208,208,10,8,0.01299414305892398,[-1  0  1  2  3  4  5  6  7  8  9],[ 8  5  4  4  4  2 15  6  2  2  2],7,2,1,0,0
209,209,10,7,0.2345945390032885,[-1  0  1  2  3  4  5  6  7  8  9],[ 7  6 10  2  2  4  9  5  3  3  3],6,2,2,0,0
210,210,8,7,0.18453716614511909,[-1  0  1  2  3  4  5  6  7],[ 7  6  6  7 13  5  5  3  2],2,5,1,0,0
211,211,12,6,0.20058142546090063,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[6 6 6 2 8 4 3 5 3 2 2 3 4],8,4,0,0,0
212,212,15,5,0.2036966755015149,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[5 4 6 3 8 4 2 3 2 2 2 2 3 4 2 2],13,2,0,0,0
213,213,7,5,-0.00828742050118489,[-1  0  1  2  3  4  5  6],[ 5  8 13  3  2  6 15  2],3,2,2,0,0
214,214,9,6,0.12116760636280567,[-1  0  1  2  3  4  5  6  7  8],[ 6  8 11  2  4  2  9  2  7  3],5,2,2,0,0
215,215,9,3,0.2828319607618703,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 10  3 10  3 10  5  2  5],4,2,3,0,0
216,216,7,7,0.02865149774531965,[-1  0  1  2  3  4  5  6],[ 7  3 10  6 13  9  3  3],3,1,3,0,0
217,217,9,6,0.21559719904612556,[-1  0  1  2  3  4  5  6  7  8],[ 6  3 12  4  2  7  4  3  7  6],5,3,1,0,0
218,218,10,5,0.152578278895698,[-1  0  1  2  3  4  5  6  7  8  9],[ 5  2 10  2  3 13  4  9  2  2  2],7,0,3,0,0
219,219,5,5,0.35329772094056283,[-1  0  1  2  3  4],[ 5  2  9 18 16  4],2,0,1,2,0
220,220,10,2,0.23240923141074551,[-1  0  1  2  3  4  5  6  7  8  9],[ 2  3  3 17  3  9  6  2  5  2  2],6,2,1,1,0
221,221,4,0,0.4978702965156171,[0 1 2 3],[16 19 17  2],1,0,0,2,0
222,222,10,8,0.14136404919540643,[-1  0  1  2  3  4  5  6  7  8  9],[8 2 9 8 8 4 3 3 2 4 3],7,2,1,0,0
223,223,12,5,0.19362307126918438,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[ 5  4 12  4  2  2  2  6  2  9  2  2  2],9,1,2,0,0
224,224,11,13,0.16098760050493718,[-1  0  1  2  3  4  5  6  7  8  9 10],[13  2  4  4  3  4  8  2  2  2  6  4],9,2,0,0,0
225,225,9,8,0.1486024811078427,[-1  0  1  2  3  4  5  6  7  8],[ 8  2  9  3  6 11  2  2  6  5],4,3,2,0,0
226,226,13,12,0.14805793389382982,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[12  7  3  3  7  2  2  2  6  2  2  2  2  2],10,3,0,0,0
227,227,12,13,0.08995220384016998,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[13  2  7  2  3  4  3  4  2  2  5  4  3],10,2,0,0,0
228,228,7,15,0.07658205715656206,[-1  0  1  2  3  4  5  6],[15 12  2  9  2  3  6  5],3,2,2,0,0
229,229,11,8,0.12595065142452805,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 8 14  2  6  2  3  4  5  2  4  2  2],8,2,1,0,0
